id;descrizioneCompleta;Peso;;produttore;;;;;;;;;;;;;;
CARBTCOSCIADIS1;Coscia di tacchino disossata g 500;Coscia di tacchino disossata g 500;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBTCOSCIAINT4;Coscia di tacchino g 700;Coscia di tacchino g 700;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBTFESAFETTE1;Fesa di tacchino a fette g 250;Fesa di tacchino a fette g 250;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBTFESAINT1;Fesa di tacchino intera g 600;Fesa di tacchino intera g 600;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBTPORZIONATOKG1;Tacchino porzionato senza testa, zampe, frattaglie kg 1;Tacchino porzionato senza testa, zampe, frattaglie kg 1;kg;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
CARBTROLATA1;Rolata di tacchino g 750;Rolata di tacchino g 750;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
SFIZIOPOLLO1;Prosciutto cotto affettato di pollo g 100;Prosciutto cotto affettato di pollo g 100;;Azienda agricola agrituristica Cascina Campora;;;;;;;;;;;;;;
PESCONS10;Filetto di trota affumicata a freddo g 150;Filetto di trota affumicata a freddo g 150;;SocietÃ  agricola San Biagio di Delia Revelli;;;;;;;;;;;;;;
PESCONS54;Insalata di trota farro e verdure g 200;Insalata di trota farro e verdure g 200;;SocietÃ  agricola San Biagio di Delia Revelli;;;;;;;;;;;;;;
PESCONS61;Petali di trota cruda marinata, con prezzemolo g 200;Petali di trota cruda marinata, con prezzemolo g 200;;SocietÃ  agricola San Biagio di Delia Revelli;;;;;;;;;;;;;;
PESCONS62;Dadolata di trota cruda con pepe rosa e erba cipollina g 200;Dadolata di trota cruda con pepe rosa e erba cipollina g 200;;SocietÃ  agricola San Biagio di Delia Revelli;;;;;;;;;;;;;;
PESCONS9;Filetto di trota affumicata a caldo g 150;Filetto di trota affumicata a caldo g 150;;SocietÃ  agricola San Biagio di Delia Revelli;;;;;;;;;;;;;;
RINFPESFRESCIB1;Filetti Iridea bianca 2 da g 150 cadauno g 300;Filetti Iridea bianca 2 da g 150 cadauno g 300;;SocietÃ  agricola San Biagio di Delia Revelli;;;;;;;;;;;;;;
RINFPESFRESCIS1;Filetti Iridea salmonata 2 da g 150 cadauno g 300;Filetti Iridea salmonata 2 da g 150 cadauno g 300;;SocietÃ  agricola San Biagio di Delia Revelli;;;;;;;;;;;;;;
RINFPESFRESCOC1;Carpaccio di trota Iridea salmonata g 150;Carpaccio di trota Iridea salmonata g 150;;SocietÃ  agricola San Biagio di Delia Revelli;;;;;;;;;;;;;;
RINFPESFRESCOEVISC8;Trota Iridea eviscerata g 500;Trota Iridea eviscerata g 500;;SocietÃ  agricola San Biagio di Delia Revelli;;;;;;;;;;;;;;
RINFPESFRESCOEVISC9;Salmerino eviscerato g 650 ;Salmerino eviscerato g 650 ;;SocietÃ  agricola San Biagio di Delia Revelli;;;;;;;;;;;;;;
RINFPESFRESCOS1;Filetti di Salmerino 2 da g 150 cadauno g 300;Filetti di Salmerino 2 da g 150 cadauno g 300;;SocietÃ  agricola San Biagio di Delia Revelli;;;;;;;;;;;;;;
RINFPESFRESCOT1;Trancio di trota Iridea salmonata g 300;Trancio di trota Iridea salmonata g 300;;SocietÃ  agricola San Biagio di Delia Revelli;;;;;;;;;;;;;;
RINFPESFRESCPO1;Polpette di trota confezione da 8 g 200;Polpette di trota confezione da 8 g 200;;SocietÃ  agricola San Biagio di Delia Revelli;;;;;;;;;;;;;;
RINFPESFRESCSP1;Spiedini di trota confezione da 4 g 200;Spiedini di trota confezione da 4 g 200;;SocietÃ  agricola San Biagio di Delia Revelli;;;;;;;;;;;;;;
RINFPESFRESCSV1;Svizzere di trota confezione da 2 g 160;Svizzere di trota confezione da 2 g 160;;SocietÃ  agricola San Biagio di Delia Revelli;;;;;;;;;;;;;;
RINFPESFRESCTI1;Polpa tritata di trota kg 3 confezione unica sottovuoto ;Polpa tritata di trota kg 3 confezione unica sottovuoto ;;SocietÃ  agricola San Biagio di Delia Revelli;;;;;;;;;;;;;;
FORVASTAG13;Grana rotta g 150 ;Grana rotta g 150 ;;Azienda agricola Gan di Isoardo Riccardo;;;;;;;;;;;;;;
SALE3;Fior di sale g 90;Fior di sale g 90;;Trapani Sale di Gucciardo Vincenzo;;;;;;;;;;;;;;
SALE8;Sale marino fino integrale kg 1;Sale marino fino integrale kg 1;kg;Trapani Sale di Gucciardo Vincenzo;;;;;;;;;;;;;;
SALE9;Sale marino grosso integrale kg 1;Sale marino grosso integrale kg 1;kg;Trapani Sale di Gucciardo Vincenzo;;;;;;;;;;;;;;
